Name,Beauhurst URL,Accelerator manager,Sponsor(s),Fund,Next application deadline,Duration,Perks provided,Status,Summary,Eligibility,Phone number,Website,LinkedIn page,Country,Local authority (if UK),Region (if UK),Street address,Postcode (if UK),Number of attendances in this accelerator,Number of fundraisings associated with this accelerator,Date of the latest attendance 
HS2 Accelerator,https://platform.beauhurst.com/acceleratormanager/xa3z6j/accelerator/wyqqbf/,Connected Places Catapult,,,,5 months.,"Access to Business Network, Access to Finance, Business Advice, Financial Investment, Mentoring, Office Space, Product Development, Technical Expertise, Workshops",Green,The programme aims to support businesses developing digital solutions for the development of the rail scheme HS2.,Applicants must meet the following criteria: Be an SME Be based in the UK and able to attend in-person activities and events Be developing a solution which is at technology readiness levels (TRLs) 5-8 Be developing a technology addressing the programme challenges,,https://cp.catapult.org.uk/opportunity/hs2-accelerator/,,United Kingdom,Islington,London,"The Urban Innovation Centre
One Sekforde Street
London
EC1R 0BE",EC1R 0BE,28,,2025-01-10
Regional Talent Engines,https://platform.beauhurst.com/acceleratormanager/hgy37j/accelerator/g2t6w4/,Royal Academy of Engineering,,,,6 months.,"Access to Alumni Network, Access to Business Network, Access to Network of Experts, Co-working Space, Financial Investment, Invitation to Exclusive Events, Mentoring, Workshops",Green,"Regional Talent Engines is a six-month pre-accelerator programme for early-stage founders in Northern England, Northern Ireland and Wales to transform ideas into new engineering startups.","Applicants must meet the following criteria: Applicants must be an experienced engineer or tech professional with at least 5 years’ experience, and intending to establish their startup in one of the stated geographies Be ambitious and passionate Be able to demonstrate creativity and problem solving skills Have the right to live and work in the UK Have an innovative and scalable solution to an identified problem or market need Have identified a practical application and formulated a concept for your innovation",,https://enterprisehub.raeng.org.uk/regional-talent-engines,,United Kingdom,Westminster,London,"Royal Academy of Engineering
Prince Philip House
3 Carlton House Terrace
London",SW1Y 5DG,70,,2023-06-05
Eastern Daily Press Future 50,https://platform.beauhurst.com/acceleratormanager/ci4mhd/accelerator/q52h27/,Barclays Eagle Labs,"Turning Factor, Birketts, Archant, Lovewell Blake, Foresight Group",,,12 months.,"Access to Alumni Network, Business Advice, Financial Planning, Media Exposure",Green,The programme is for innovative companies to access specialist advice and peer support to grow.,The programme is for companies based in East Anglia.,,https://www.edp24.co.uk/news/business/future50/,,United Kingdom,Tower Hamlets,London,"1 Churchill Place
London
E14 5HP",E14 5HP,269,,2017-10-31
Sequoia Arc,https://platform.beauhurst.com/acceleratormanager/ubvwm5/accelerator/hz52vi/,Sequoia Capital,,Sequoia Capital,,7 weeks.,"Access to Alumni Network, Access to Customer Network, Business Education, Financial Investment, Marketing support, Mentoring, Product Development",Green,The programme provides company development advice for very early stage companies and founders.,"The programme is for pre-seed and seed-stage founders who are actively working on an idea and company, from concept stage to a minimum viable product.",,https://www.sequoiacap.com/arc/,,United Kingdom,Westminster,London,"1 St Vincent St
London
W1U 4DA",W1U 4DA,8,6,2022-05-23
FoundersBoost UK,https://platform.beauhurst.com/acceleratormanager/x4n25a/accelerator/inmnd9/,FoundersBoost,"F6S, Global Accelerator Network",,,6 weeks.,"Access to Network of Experts, Mentoring, Workshops",Green,The programme aims to support early stage companies launch.,Applicant companies must be pre-seed or seed stage and based in the UK.,,https://www.foundersboost.com/programs/uk,https://www.linkedin.com/company/27135106,United Kingdom,Sunderland,North East,"Tavistock Pl
Hendon
Sunderland",SR1 1PB,8,,2022-10-06
AgriTech Bridge,https://platform.beauhurst.com/acceleratormanager/ci4mhd/accelerator/ru4x7v/,Barclays Eagle Labs,"Barclays, Codebase",Digital Growth Grant,,6 months.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Mentoring, Workshops",Green,"The programme supports businesses that aim to innovate the agricultural and food supply sectors, working towards a sustainable food chain.",Applicants must be based in the UK.,,https://labs.uk.barclays/what-we-offer/our-programmes/industry-bridge/agritech-bridge/,,United Kingdom,Tower Hamlets,London,"1 Churchill Place
London
E14 5HP",E14 5HP,1,,2023-09-13
Create South East,https://platform.beauhurst.com/acceleratormanager/ysx9kc/accelerator/fedrfz/,Create South East,,,,9 months.,"Access to Business Network, Access to Investor Network, Investment Assistance, Mentoring, Workshops",Green,The programme aims to support businesses in the creative sector to develop and secure investment.,"Applicants must operate in the creative sector, and be based in Kent, Essex or Sussex.",,https://createsoutheast.org.uk/,,United Kingdom,Mid Sussex,South East,"Brackenhurst Selsfield Road
Ardingly
Haywards Heath
United Kingdom
RH17 6TJ",RH17 6TJ,61,,2024-09-01
Angels@Essex Investment Readiness,https://platform.beauhurst.com/acceleratormanager/qchtrq/accelerator/m9cxq3/,Angels@Essex,University of Essex,,,3 months.,"Access to Investor Network, Investment Assistance, Mentoring, Workshops",Green,The programme aims to prepare innovative businesses for investment.,Applicants must be developing an innovation and a prepared pitch deck.,,https://www.essex.ac.uk/business/knowledge-gateway/university-enterprise-zone/angels-at-essex,,United Kingdom,Colchester,East of England,"Boundary Road
Colchester
England 
CO4 3SQ",CO4 3SQ,549,,2024-02-01
Children’s Health Impact Accelerator,https://platform.beauhurst.com/acceleratormanager/pvfm8s/accelerator/nigraq/,Founders Factory,"Humant Group, UKRI Medical Research Council, Thinking of Oscar, Alder Hey Children's Hospital",Innovate UK,,10 weeks.,"Access to Business Network, Access to Network of Experts, Business Advice, Business Education, Investment Assistance, Mentoring, Product Development",Green,The programme aims to develop children-focused health startups.,Applicants must b e operating or developing healthcare products for children.,,https://foundersfactory.com/accelerator/ukri-children-s-health-accelerator/,,United Kingdom,Islington,London,"Unit 220
Business Design Centre
Upper Street
Islington
London
N1 0QH",N1 0QH,9,,2023-08-18
International Growth Asia Pacific,https://platform.beauhurst.com/acceleratormanager/c29mqt/accelerator/9g3jph/,Tech Nation,,,,6 months.,"Access to Customer Network, Access to Network of Experts, Mentoring, Workshops",Green,"This programme is for UK companies that are focusing on international growth into Asia Pacific regions, through trade and investment opportunities. ","Applicants must be looking to expand internationally across areas such as accessing new markets, hiring, or opening new offices. ",,https://technation.io/international/,,United Kingdom,Westminster,London,"6th Floor,
180 Strand,
2 Arundel Street,
London,
WC2R 3DA",WC2R 3DA,1,,2022-06-23
Baltic Ventures Accelerator,https://platform.beauhurst.com/acceleratormanager/8j6jjw/accelerator/8tn36k/,Baltic Ventures,"Liverpool City Region Combined Authority, Slush’D",Baltic Ventures,,4 months.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Corporate Resources, Financial Investment, Mentoring, Office Space, Workshops",Green,The programme is for tech companies with the potential to make positive change in the world.,Applicants must: Have an early stage product or prototype Be able to attend in-person workshops in Liverpool for the duration of the programme,,https://balticventures.uk/accelerator/,https://www.linkedin.com/company/89234987,United Kingdom,Liverpool,North West,"Studio B, 
Digital House,
44 Simpson Street,
Liverpool
L1 0AX",L1 0AX,15,9,2025-09-09
Intel Ignite,https://platform.beauhurst.com/acceleratormanager/4mm9jz/accelerator/qs7qnb/,Intel,,,,12 weeks.,"Access to Business Network, Access to Investor Network, Corporate Resources, Marketing support, Mentoring, Product Development, Technical Expertise, Workshops",Green,The programme is to support early-stage deep tech startups.,Applicant companies must meet the following criteria: Have secured a minimum of $1m in seed funding Have an experienced founding team Have significant intellectual property Have large market opportunity ,,https://intelignite.com/,https://www.linkedin.com/company/34932554,United Kingdom,Islington,London,"90 York Way
London
N1 9AG",N1 9AG,19,,2024-04-24
AI Forge,https://platform.beauhurst.com/acceleratormanager/qr79dp/accelerator/h366ze/,AI Forge,"Startup Network Europe, CogX, UK Business Angels Association, Edgetech",AI Forge,2023-11-13,12 weeks.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Corporate Resources, Financial Investment, Financial Planning, Marketing support, Mentoring, Workshops",Green,The programme provides training and support to AI start-up companies.,"Applicants must be creating a company that utilises artificial intelligence, deeptech or machine learning technologies.",,https://www.aiforge.org/,https://www.linkedin.com/company/90648734,United Kingdom,Islington,London,"2nd Floor
1-3 Worship Street
London
EC2A 2AB",EC2A 2AB,14,11,2024-09-02
Scaleup Programme - Plexal,https://platform.beauhurst.com/acceleratormanager/ci4mhd/accelerator/xp6gv5/,Barclays Eagle Labs,,,,6 months.,"Access to Customer Network, Access to Investor Network, Access to Network of Experts, Mentoring",Green,This programme is sector agnostic but aimed at digital companies that have the potential to grow. ,"Applicants must meet the following criteria:  Be UK Headquartered  Have more than 10 employees Have approximately £1m or more in turnover or investment Have 20% growth in turnover and headcount in the past 3 years Provide a digital product or service (including hardware and platforms), or provide a product or service which is reliant on digital technology as the primary revenue source",,https://labs.uk.barclays/what-we-offer/our-programmes/scaleup-plexal/,,United Kingdom,Tower Hamlets,London,"1 Churchill Place
London
E14 5HP",E14 5HP,22,,2023-09-26
The Scale-Up Academy,https://platform.beauhurst.com/acceleratormanager/uqb2nf/accelerator/sa7428/,Eastern AHSN,Triple Chasm Company,,,Six weeks.,"Access to Investor Network, Access to Network of Experts, Business Advice, Mentoring, Workshops",Green,The programme is for healthcare and medical technology companies looking to scale-up by overcoming barriers to commercial success.,Applicants must be able to attend half-day workshops twice a week.,,https://events.eahsn.org/ScaleUpAcademy?lang=en,,United Kingdom,South Cambridgeshire,East of England,"Unit C
Magog Court
Shelford Bottom
Cambridge
CB22 3AD",CB22 3AD,4,,2023-10-31
Re/Wire Health Studio,https://platform.beauhurst.com/acceleratormanager/u4t92j/accelerator/p4f687/,R/GA Venture Studio,Haleon,Haleon NEXT,,3 months.,"Access to Business Network, Access to Network of Experts, Marketing support, Mentoring, Product Development, Technical Expertise",Green,The programme aims to support businesses developing innovations to support everyday health.,Applicants must: be US and/or EMEA-focused focussed be developing  technology in the  digital and biological diagnostics sector that aim to improve public health Be at a pre-seed through Series A stage of funding Have an MVP product or service have the ability and desire to partner with Haleon NEXT,3 months.,https://rewirehealthstudio.com/,https://www.linkedin.com/company/94147409,United Kingdom,Elmbridge,South East,"Building 5
First Floor
The Heights
Weybridge
Surrey
KT13 0NY",KT13 0NY,1,,2021-11-01
SBC Catalyser,https://platform.beauhurst.com/acceleratormanager/n2krb6/accelerator/69y3f9/,Stevenage Bioscience Catalyst,Triple Chasm Company,,,8 weeks.,"Access to Customer Network, Access to Investor Network, Access to Network of Experts, Business Education, Mentoring, Product Development, Technical Expertise, Workshops",Green,This programme is for companies operating in the therapeutics and techbio industries.,"Applicants must meet the following criteria: Developing therapeutic innovations Have a proof of concept and planning to create the first commercially viable product Have integrated digital and data technologies, or are planning to integrate them Have an existing presence in the UK, or planning to establish a presence in the UK Have an ambitious leadership team of at least 2-3 people and can commit to full participation in the programme, including in-person activities",,https://www.stevenagecatalyst.com/accelerate/programme/,,United Kingdom,Stevenage,East of England,"Gunnels Wood Road
Stevenage
Hertfordshire
SG1 2FX",SG1 2FX,18,,2024-03-12
Care and HealthTech Bridge,https://platform.beauhurst.com/acceleratormanager/ci4mhd/accelerator/2izm7d/,Barclays Eagle Labs,"Barclays, Codebase",Digital Growth Grant,,6 months.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Mentoring, Workshops",Green,The programme supports businesses operating in the healthy ageing and care space.,Applicants must be based in the UK.,,https://labs.uk.barclays/what-we-offer/our-programmes/industry-bridge/care-and-healthtech-bridge/,,United Kingdom,Tower Hamlets,London,"1 Churchill Place
London",E14 5HP,36,,2024-06-30
EnergyTech Bridge,https://platform.beauhurst.com/acceleratormanager/ci4mhd/accelerator/4fcn3m/,Barclays Eagle Labs,"Codebase, Opportunity North East",,,12 months.,"Access to Business Network, Access to Network of Experts, Invitation to Exclusive Events, Mentoring, Workshops",Green,"The programme supports businesses working in the energy sector, that aim to develop cleaner energy sources.",Applicants must be based in the UK.,,https://labs.uk.barclays/our-industries/energytech/framework/,,United Kingdom,Tower Hamlets,London,"1 Churchill Place
London
E14 5HP",E14 5HP,1,,2021-04-30
1000 Black Voices Fintech Accelerator,https://platform.beauhurst.com/acceleratormanager/wym3jn/accelerator/3shwwr/,1000 Black Voices,,,,12 weeks.,"Access to Business Network, Access to Investor Network, Investment Assistance, Mentoring, Workshops",Green,The programme is for Black founders of Fintech businesses.,Applicants must meet the following criteria: Be a Black founder of a Fintech business Have 50% or more ownership in the business Be making key strategic decisions Have a product or service in the market Be available to attend all sessions throughout the programme duration,,https://1000blackvoices.com/fintech-acceleratortrademission/,,United Kingdom,Camden,London,"71-75 Shelton Street
Covent Garden
London
WC2H 9JQ",WC2H 9JQ,1,,2021-05-31
Made Smarter Technology Accelerator,https://platform.beauhurst.com/acceleratormanager/yaht5t/accelerator/j3eyby/,Digital Catapult,"BAE Systems, Sainsbury's, Verizon, Software AG, GAF, O'Neills, Messier-Dowty, Northumbrian Water Group, Babcock",Industrial Strategy Challenge Fund,,9 months.,"Access to Business Network, Access to Network of Experts, Financial Investment, Invitation to Exclusive Events, Mentoring, Technical Expertise, Workshops",Green,The programme is for startups developing technology to address manufacturing challenges in the UK.,Applicants must meet the following criteria: Be a UK based company Have a UK business bank account Have an experienced team Have a well-developed and unique idea that takes environmental factors into account Have an idea that has technological suitability and relevance Have an idea that is scalable and suitable for further funding Be able to develop a feasible solution within the timeframe and budget Be able to demonstrate a certain level of technological readiness,020 3882 3557,https://accelerator.madesmarter.uk/,,United Kingdom,Camden,London,"Digital Catapult
101 Euston Road
London",NW1 2RA,15,,2021-03-11
DIANA Accelerator,https://platform.beauhurst.com/acceleratormanager/k566j2/accelerator/7c3rt2/,DIANA Accelerator,NATO,NATO DIANA,,6 months.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Access to Political Network, Financial Investment, Invitation to Exclusive Events, Mentoring, Workshops",Green,The programme supports companies developing technologies that solve challenges in the defence and security sector.,"Applicant companies must: Be developing a dual-use technology that can be used in civilian settings; DIANA does not accept weapons, munitions or combat-specific technology Be based in a NATO member nation and majority-owned by citizens of a NATO member nation Be early-stage or SME companies, ideally with limited defence experience Not be a university or non-profit group",,https://www.diana.nato.int/accelerator-programme.html,https://www.linkedin.com/company/88007411,United Kingdom,Hammersmith and Fulham,London,"84 Wood Lane
Imperial College London
Translation & Innovation Hub
London
W12 7SL",W12 7SL,11,,2026-01-30
Ascend,https://platform.beauhurst.com/acceleratormanager/j75p2q/accelerator/5tpxsn/,FounderVine,,UK Shared Prosperity Fund (UKSPF),,3 months.,"Access to Investor Network, Business Advice, Co-working Space, Financial Investment, Investment Assistance, Mentoring",Green,The programme is for scale-stage businesses.,"Applicants must meet the following criteria:  Operate in the digital technology sector Be revenue-generating and/or VC backed Be planning to raise funding within the next 12-18 months, with a targeted range of £250,000 to £750,000 Be a London-based business Have a growing customer base and/or market share Have a team with founders from ethnic minority backgrounds Have a team that team includes women and sexual minorities Have a team that has proven expertise in the industry",,https://www.foundervine.com/ascend,,United Kingdom,Westmorland and Furness,North West,"11 Thrang Brow
Chapel Stile
Ambleside
England
LA22 9JN",LA22 9JN,3,,2024-08-13
IA Engine Innovator Programme,https://platform.beauhurst.com/acceleratormanager/zqtu97/accelerator/nzvd3h/,The IA Engine,,,,12 months.,"Access to Investor Network, Access to Network of Experts, Business Advice, Co-working Space, Invitation to Exclusive Events, Marketing support, Mentoring",Green,The programme is for companies operating in the fintech sector. ,Applicants must meet the following criteria: Be an IA Engine member Provide solutions to the investment management and capital markets industry,,https://www.theiaengine.com/the-programme-benefits/ia-engine-innovator-programme/,,United Kingdom,City of London,London,"Camomile Court
23 Camomile Street
London",EC3A 7LL,2,,2025-03-25
EY FinTech Growth Programme,https://platform.beauhurst.com/acceleratormanager/nt45em/accelerator/m5rccj/,Ernst & Young,,,,6 weeks.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Mentoring, Workshops",Green,This programme is for companies operating in the FinTech sector. ,Applicants must meet the following criteria:  Operate in the UK Have ambitious growth plans,,https://www.ey.com/en_uk/financial-services/ey-fintech-lab,,United Kingdom,Southwark,London,"6 More London Place
The Borough
London
SE1 2DA",SE1 2DA,1,,2023-09-14
FutureScope BridgeAI Accelerator,https://platform.beauhurst.com/acceleratormanager/yaht5t/accelerator/9j5tsq/,Digital Catapult,,Innovate UK,,12 weeks.,"Access to Finance, Access to Network of Experts, Mentoring, Product Development, Technical Expertise, Workshops",Green,The programme supports businesses to build and commercialise AI and Machine Learning products.,Applicants must operate in the following sectors: Agriculture Creative Industries Construction Transport,,https://futurescope.digicatapult.org.uk/our-programmes/bridgeai-programme/,,United Kingdom,Camden,London,"101 Euston Road
London
NW1 2RA",NW1 2RA,24,,2025-04-23
Bootstrap School (LIFT),https://platform.beauhurst.com/acceleratormanager/zb255b/accelerator/ibq5mc/,OneTech,Tectonic,,,8 weeks.,"Access to Finance, Marketing support, Mentoring, Product Development, Technical Expertise",Green,The programme aims to support the founders of early stage businesses to grow their businesses.,"Applicants must be based in the London boroughs of Camden, Hackney, Islington or Tower Hamlets.",,https://www.weareonetech.org/activities/lift-bootstrap-school,https://www.linkedin.com/company/19176304,United Kingdom,Hackney,London,"5 Luke Street
London
EC2A 4PX",EC2A 4PX,1,,
Immerse Catalyst,https://platform.beauhurst.com/acceleratormanager/j75p2q/accelerator/qhjbvp/,FounderVine,,Lloyds Banking Group,,8 weeks.,"Access to Business Network, Access to Finance, Access to Investor Network, Business Advice, Investment Assistance, Mentoring, Workshops",Green,"The programme aims to support businesses in growth, with a focus on raising finances.","Applicants must meet the following criteria: Be a UK registered business or sole trader Have been in operation for at least 18 months Must demonstrate a minimum of £50,000 in revenue or funding Have at least 1 team member (voluntary or part-time) Have at least 1 founder (or C-suite) self-identifies as Black or of Black heritage  Have proven expertise in your industry Be available to attend all the scheduled masterclasses",,https://www.foundervine.com/our-programmes/immerse-catalyst,https://www.linkedin.com/company/11360753,United Kingdom,Enfield,London,"Greater London 
N9",,18,,2025-09-03
Brunel University RIE,https://platform.beauhurst.com/acceleratormanager/g7qcik/accelerator/f2az7k/,Brunel University,,,2023-12-20,6 months.,"Access to Investor Network, Access to Network of Experts, Mentoring, Workshops",Green,The programme supports businesses to develop their research and innovation strategy.,"Applicant companies must meet the following: Registered businesses in the UK with evidence of financial expenditure/investment over £100,000 in the last financial year with limited or no success of securing funding for R&I. Have achieved the Technology Readiness Level (TRL) three of their proposed solution. Commitment to participate in three day workshops and receive up to five hours of expert mentoring support. Commitment to develop specific research and innovation strategy and concept note leading to potential collaborative proposal for funding. Minimum two full time staff employed in the organisation",,https://www.brunel.ac.uk/business/Help-for-SMEs/Research-Innovate-and-Emerge,,United Kingdom,Hillingdon,London,"Brunel University London
Kingston Lane
Uxbridge
Middlesex",UB8 3PH,1,,2021-11-11
AI First (Europe and Israel),https://platform.beauhurst.com/acceleratormanager/ncekav/accelerator/a84pjy/,Google for Startups,Google Cloud Platform,,,10 weeks.,"Access to Business Network, Access to Finance, Access to Investor Network, Access to Network of Experts, Business Advice, Corporate Resources, Invitation to Exclusive Events, Mentoring, Product Development, Technical Expertise",Green,The program aims to help scale companies developing AI technology.,"Applicants must: Be based in Europe or Israel. Be able to attend in-person events held in Europe. Be able to demonstrate they're between Seed & Series A stage, with a team of 10 or more. Be building a product with a defensible growth model and significant market. Be developing or heavily leveraging AI technology.",,https://startup.google.com/programs/accelerator/ai-first/europe/,,United Kingdom,Islington,London,"4-5 Bonhill Street
London
EC2A 4BX",EC2A 4BX,6,,2023-09-21
"Innovate UK Microbials (Microbiome, Biofilms & Phage) Accelerator Programme",https://platform.beauhurst.com/acceleratormanager/3b7npv/accelerator/kvdiur/,Innovate UK,"Liverpool University, innovation Agency, iiCON, LYVA Labs, Bionow, CPI",Biomedical Catalyst - Late Stage,,6 months.,"Financial Planning, Marketing support, Mentoring, Product Development, Technical Expertise, Workshops",Green,"The programme aims to offer support and advice to businesses developing microbiome, biofilm or phage related technology.","Applicants must meet the following criteria: Be a UK-based SME, or an academic in the early stages of forming an SME Have an innovative idea to develop a novel product, technology, or process which is in scope of the “Microbials” area, that aims to impact upon a clear evidenced and sizeable healthcare challenge. Be developing a technology, product, process or service with a clear route to market that will lead to a commercial opportunity. Have a technology, product, process or service which could form the basis of an application to an Innovate UK Biomedical Catalyst Feasibility Award call.",,https://lyvalabs.com/microbials-accelerator,,United Kingdom,Manchester,North West,"Greenheys
Pencroft Way
Manchester
M15 6JJ",M15 6JJ,3,,2024-01-30
Discovery Spark,https://platform.beauhurst.com/acceleratormanager/6rgkw9/accelerator/42r7an/,Discovery Park,,,,8 weeks.,"Access to Business Network, Access to Finance, Access to Network of Experts, Business Advice, Financial Investment, Mentoring, Office Space",Green,The programme is for early-stage startups operating in the life sciences industry.,Applicants must have been incorporated in the UK and be able to demonstrate proof of concept.,,https://discovery-park.co.uk/new-business-support-programme-and-competition-for-life-science-start-ups-discovery-spark/,,United Kingdom,Dover,South East,"Discovery Park
Ramsgate Rd
Sandwich
CT13 9FF",CT13 9FF,14,2,2025-09-09
Advanced Access Programme,https://platform.beauhurst.com/acceleratormanager/zqtu97/accelerator/jwm9x4/,The IA Engine,,,,3 months.,"Access to Finance, Access to Network of Experts, Business Advice, Invitation to Exclusive Events, Legal Services, Technical Expertise",Green,The programme aims to support the growth of Fintech businesses.,"Applicants must be an IA FinTech Member, and be at a later stage of growth than Pre-seed to Series A members.",,https://www.theiaengine.com/the-programme-benefits/advanced-access-programme/,https://www.linkedin.com/company/28992577,United Kingdom,City of London,London,"The Investment Association
23 Camomile Street
London",EC3A 7LL,1,,2024-01-10
Just Transition - Incubator Programme,https://platform.beauhurst.com/acceleratormanager/kiukc8/accelerator/7b5dg6/,Startup Discovery School,,UK Shared Prosperity Fund (UKSPF),,12 weeks.,"Access to Business Network, Access to Finance, Business Advice, Co-working Space, Legal Services, Mentoring, Workshops",Green,The programme aims to support London based businesses in the climate tech sector.,"Businesses must be working on an idea for a climate tech solution, or a have a business that can solve sustainability challenges.",,https://www.justtransition.uk/,https://www.linkedin.com/company/68125436,United Kingdom,Islington,London,"320 City Road
London
EC1V 2NZ",EC1V 2NZ,2,,2023-11-07
Aerospace Xelerated,https://platform.beauhurst.com/acceleratormanager/wwrxcx/accelerator/ddecmk/,Aerospace Xelerated,,,,12 weeks.,"Access to Investor Network, Access to Network of Experts, Financial Investment, Mentoring",Green,The programme is for early stage software startups developing aerospace technology.,Applicants must be developing technology for use in the aerospace industry.,,https://xelerated.aero/,https://www.linkedin.com/company/29301860,United Kingdom,Westminster,London,"25 Victoria Street
Westminster
London
SW1H 0EX",SW1H 0EX,25,,2024-01-26
AI for Health,https://platform.beauhurst.com/acceleratormanager/ncekav/accelerator/z7hddu/,Google for Startups,,,,3 months.,"Access to Alumni Network, Access to Business Network, Access to Investor Network, Access to Network of Experts, Business Advice, Mentoring, Technical Expertise, Workshops",Green,The programme aims to support the growth of businesses using AI technology in the healthcare and wellbeing sectors.,"Applicants must meet the following criteria: Be Seed to Series A startups based in Europe, the Middle East, and Africa but looking to scale internationally. Have a focus on leveraging AI to address health or wellbeing challenges. Have demonstrated traction, such as a clear track record of users and revenue. Have a scalable product or service, with both a significant total addressable market and a defensible growth model.",,https://startup.google.com/programs/growth-academy/ai-for-health/emea/,,United Kingdom,Islington,London,"4-5 Bonhill Street
London
England 
EC2A 4BX",EC2A 4BX,7,,2023-09-27
Warwick Deep Tech Incubator,https://platform.beauhurst.com/acceleratormanager/6xwhup/accelerator/xm3a2b/,University of Warwick,,,,6 months.,"Access to Alumni Network, Access to Business Network, Access to Network of Experts, Mentoring, Office Space",Green,"The programme is for entrepreneurs who want to develop a Deep Tech  business built on data science, artificial intelligence or emerging technologies.",Applicants must operate within the Deep Tech industry.,,https://warwickinnovationdistrict.com/deep-tech-innovation-centre/,,United Kingdom,Coventry,West Midlands,"Warwick Innovation District
University of Warwick
Junction Building
6 University Rd
Coventry
CV4 7EQ",CV4 7EQ,8,,2024-01-25
FutureScope Photonics NI,https://platform.beauhurst.com/acceleratormanager/yaht5t/accelerator/6sxt7c/,Digital Catapult,,UK Research and Innovation,,9 weeks.,"Access to Business Network, Access to Network of Experts, Business Education, Technical Expertise",Green,"The programme is for companies in manufacturing, construction, agritech or the medical sector who are looking to use photonics within their industry.",Applicants must: Operate in Northern Ireland and be registered or established in the UK Be eligible to receive government funding Be industry-facing and have the need to develop solutions enabled by photonics technology Reach a high enough score on the programme's online application form,,https://futurescope.digicatapult.org.uk/our-programmes/photonics-ni/,,United Kingdom,Camden,London,"Digital Catapult
101 Euston Road
London
NW1 2RA",NW1 2RA,7,,2023-06-24
Venture Connect,https://platform.beauhurst.com/acceleratormanager/iuvpmu/accelerator/btcp8t/,2050 Maritime Innovation Hub,"Connected Places Catapult, Barclays, Port of Tyne, Innovation SuperNetwork, Northstar Ventures, Gresham House",,,4 months.,"Access to Business Network, Access to Customer Network, Access to Investor Network, Business Advice, Mentoring, Product Development, Technical Expertise, Workshops",Green,The programme aims to connect decarbonisation-focused businesses in the Northeast with investors in the maritime sector.,"Applicants must be developing low carbon, cleantech technology for the ports and maritime industry, and have a business interest in the Northeast of England.",,https://www.portoftyne.co.uk/about-us/2050-innovation-hub/venture-connect,,United Kingdom,South Tyneside,North East,"Maritime House
Tyne Dock
South Shields
Tyne & Wear",NE34 9PT,1,,2024-02-07
LYVA Labs Incubator,https://platform.beauhurst.com/acceleratormanager/j9hxrd/accelerator/agzbhs/,LYVA Labs,Liverpool City Region Combined Authority,LYVA Labs Incubator Fund,,,"Access to Investor Network, Access to Network of Experts, Financial Investment, Investment Assistance, Mentoring, Office Space, Workshops",Green,"This programme is for early-stage companies that are developing an innovative product in the following sectors: Health & life sciences, excluding pharmaceuticals, drugs, alcohol, and consumer health Clean-tech products and services that have a positive impact on health outcomes Deeptech, such as physical sciences, material science, data science, artificial intelligence, advanced engineering, and robotics","Applicants must meet the following criteria: Be based in Liverpool City Region Be operating in one of the applicable sectors Be developing an innovative product, technology, or process with commercial opportunity Have developed an innovative concept or demonstrate proof of concept Have been incorporated and have a bank account",,https://lyvalabs.com/incubator,,United Kingdom,Liverpool,North West,"The Spine
2 Paddington Village
Liverpool",L7 3FA,11,6,2024-10-31
KPE Access Accelerator - Founded by Her,https://platform.beauhurst.com/acceleratormanager/hfssrr/accelerator/kqy8kg/,KPMG Private Enterprise Access,,,,,"Access to Alumni Network, Access to Business Network, Access to Investor Network, Access to Network of Experts, Business Education, Mentoring, Workshops",Green,The programme is for early-stage female-founded companies that are looking to scale and receive funding.,"Applicants must meet the following criteria: Be female-founded or co-founded, or have a female c-suite level head Be a UK-registered company that is not majority owned by a corporate Be looking to raise investment in the next 6-12 months Be currently achieving £1m ARR or have previously raised at least £1m in seed funding",,https://kpmg.com/uk/en/home/insights/2021/02/kpmg-private-enterprise-access.html#programme-roadmap,,United Kingdom,Tower Hamlets,London,"15 Canada Square,
Canary Wharf
London
E14 5GL",E14 5GL,36,,2025-04-01
Futureverse Base Camp,https://platform.beauhurst.com/acceleratormanager/aq874y/accelerator/746zsj/,Outlier Ventures,,Born Ready,,12 weeks.,"Access to Business Network, Access to Finance, Financial Investment, Legal Services, Mentoring, Product Development, Stipend, Technical Expertise, Workshops",Green,The programme aims to support the growth of businesses developing a product on The Root Network.,Applicants must meet the following criteria: Be developing a product on The Root Network. Be developing a product that aligns with Outlier Ventures’ Metaverse OS Thesis,,https://outlierventures.io/base-camp/futureverse-base-camp/,,United Kingdom,City of London,London,"11 Cursitor Street
London 
EC4A 1LL",EC4A 1LL,2,2,2024-02-13
